date,sym,side,entry,exit,qty,reason,entry_time,exit_time,rvol,gross,costs,net,R
2023-01-20,HINDUNILVR,L,2604.3,2541.18,1,stop,09:30,14:00,11.9,-63.12,2.72,-65.84,-1.06
2023-01-20,ASIANPAINT,S,2803.8,2790.29,1,eod,10:25,15:10,4.65,13.5,2.97,10.54,0.24
2023-01-23,KOTAKBANK,L,358.18,356.77,9,eod,09:50,15:10,4.27,-12.67,3.41,-16.08,-0.44
2023-01-24,AXISBANK,S,921.59,910.86,3,eod,09:30,15:10,7.15,32.2,2.92,29.28,0.73
2023-01-24,ITC,S,337.63,340.17,9,stop,09:35,10:25,7.36,-22.85,3.23,-26.08,-1.22
2023-01-25,PIDILITIND,L,1174.74,1152.72,2,stop,09:45,12:25,9.82,-44.03,2.46,-46.49,-1.08
2023-01-27,KOTAKBANK,S,344.43,342.97,9,eod,09:30,15:10,4.42,13.11,3.28,9.82,0.18
2023-01-27,TORNTPHARM,S,1519.24,1540.47,2,eod,09:30,15:10,4.25,-42.46,3.24,-45.7,-0.68
2023-01-30,TORNTPHARM,L,1550.77,1545.03,2,eod,09:35,15:10,4.57,-11.5,3.28,-14.78,-0.41
2023-01-31,LODHA,S,513.19,511.48,6,eod,09:55,15:10,12.95,10.28,3.26,7.01,0.17
2023-01-31,SHRIRAMFIN,L,251.63,257.32,13,eod,09:30,15:10,5.38,74.04,3.52,70.53,1.1
2023-02-01,COALINDIA,S,222.89,221.11,14,eod,10:00,15:10,4.87,24.89,3.3,21.59,0.3
2023-02-01,INDHOTEL,L,318.16,326.49,10,eod,09:45,15:10,20.68,83.28,3.43,79.85,1.04
2023-02-06,ITC,S,381.51,383.39,8,eod,14:50,15:10,5.1,-15.06,3.24,-18.3,-0.35
2023-02-07,HINDALCO,S,433.23,430.22,7,eod,09:30,15:10,4.09,21.13,3.21,17.92,0.3
2023-02-07,DIVISLAB,S,2785.81,2748.22,1,eod,09:30,15:10,4.14,37.58,2.94,34.64,1.01
2023-02-08,ABB,L,3073.84,3030.43,1,stop,10:15,10:25,4.44,-43.4,3.23,-46.63,-1.11
2023-02-10,CGPOWER,L,325.06,320.99,10,stop,10:35,11:20,4.29,-40.73,3.42,-44.15,-1.13
2023-02-13,ABB,S,3157.02,3072.19,1,eod,09:30,15:10,15.23,84.84,3.31,81.52,1.55
2023-02-13,M&M,S,1349.87,1353.18,2,eod,09:55,15:10,5.61,-6.6,2.87,-9.47,-0.14
2023-02-15,GRASIM,S,1602.25,1625.56,2,eod,09:30,15:10,4.01,-46.63,3.42,-50.05,-0.94
2023-02-16,INDIGO,S,1892.3,1898.85,1,eod,14:20,15:10,39.33,-6.55,2.01,-8.56,-0.29
2023-02-17,HAL,L,1350.17,1316.02,2,stop,09:45,13:00,4.44,-68.32,2.82,-71.14,-1.06
2023-02-20,HDFCAMC,L,937.92,929.14,3,eod,09:30,15:10,18.57,-26.35,2.97,-29.32,-0.76
2023-02-23,HDFCAMC,S,900.05,892.95,3,eod,09:30,15:10,4.02,21.31,2.85,18.46,0.46
2023-02-23,GAIL,S,96.35,97.9,34,stop,09:35,10:50,8.53,-52.6,3.5,-56.1,-1.1
2023-03-02,POWERGRID,S,162.67,163.88,20,stop,10:10,11:55,7.06,-24.27,3.46,-27.73,-1.23
2023-03-02,BAJAJFINSV,S,1359.32,1344.42,2,eod,09:30,15:10,4.47,29.8,2.87,26.93,0.53
2023-03-08,HDFCLIFE,L,491.65,495.0,6,eod,09:30,15:10,5.12,20.14,3.14,17.0,0.78
2023-03-09,JSWSTEEL,L,691.2,676.76,4,stop,09:35,10:45,4.66,-57.74,2.89,-60.63,-1.08
2023-03-10,AXISBANK,S,854.57,852.53,3,eod,09:35,15:10,4.69,6.14,2.72,3.42,0.18
2023-03-14,HINDZINC,S,299.4,295.15,11,eod,09:30,15:10,4.31,46.78,3.47,43.31,0.75
2023-03-14,UNITDSPR,L,762.23,767.72,4,eod,09:30,15:10,4.02,21.94,3.25,18.69,0.91
2023-03-14,KOTAKBANK,S,330.03,330.22,10,eod,09:40,15:10,5.99,-1.8,3.5,-5.3,-0.1
2023-03-15,UNITDSPR,S,769.71,761.28,4,eod,10:35,15:10,4.28,33.74,3.25,30.49,0.84
2023-03-15,HINDZINC,L,300.15,295.5,11,stop,09:30,14:20,9.75,-51.13,3.47,-54.59,-1.1
2023-03-16,TITAN,L,2454.48,2447.88,1,eod,09:30,15:10,5.1,-6.6,2.6,-9.2,-0.22
2023-03-16,IOC,S,78.96,80.19,42,stop,10:00,11:25,4.8,-51.64,3.54,-55.18,-1.1
2023-03-17,TCS,L,3195.6,3178.31,1,eod,10:15,15:10,8.82,-17.29,3.38,-20.66,-0.46
2023-03-17,DLF,L,372.39,374.71,8,eod,09:30,15:10,4.02,18.61,3.17,15.44,0.21
2023-03-21,NESTLEIND,S,948.38,946.57,3,eod,11:55,15:10,5.43,5.41,3.01,2.39,0.05
2023-03-22,SBILIFE,S,1108.35,1114.21,3,eod,14:40,15:10,6.9,-17.58,3.53,-21.12,-0.37
